@relation first_attribute-weka.filters.unsupervised.instance.Resample-S1-Z30.0

@attribute source string
@attribute text string
@attribute class {0,1}
@attribute sentence_length numeric
@attribute positive_words numeric
@attribute negative_words numeric
@attribute punctuation_sum numeric
@attribute punctuation_dot numeric
@attribute punctuation_comma numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute negation numeric
@attribute start_with_I numeric
@attribute upper_case numeric

@data
imdb,'Still it\"s quite interesting and entertaining to follow.',1,8,2,0,1,1,0,0,0,0,0,0
amazon,'I only used it two days, and it wasn\"t always easy to hear with.',0,14,1,0,2,1,1,0,0,0,1,0
yelp,'In fact I\"m going to round up to 4 stars, just because she was so awesome.',1,16,0,0,2,1,1,0,0,0,0,0
imdb,'Highly entertaining at all angles.',1,5,1,0,1,1,0,0,0,0,0,0
yelp,'Now the pizza itself was good the peanut sauce was very tasty.',1,12,1,0,1,1,0,0,0,0,0,0
yelp,'-My order was not correct.',0,5,0,0,1,1,0,0,0,1,0,0
yelp,'So absolutley fantastic.',1,3,0,0,1,1,0,0,0,0,0,0
amazon,'Overall, I would recommend this phone over the new Walkman.',1,10,1,0,2,1,1,0,0,0,0,0
amazon,'It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.',1,25,2,0,1,1,0,0,0,1,0,0
yelp,'I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!',0,14,0,0,2,0,1,1,0,0,1,0
imdb,'Okay, I like to consider myself a fair critic, so I\"ll give credit where credit\"s due--the creature effects were actually pretty cool.',1,22,3,0,3,1,2,0,0,0,0,0
imdb,'The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.',0,20,1,3,1,1,0,0,0,0,0,0
imdb,'The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.',1,19,0,2,1,1,0,0,0,0,0,0
amazon,'Absolutel junk.',0,2,0,0,1,1,0,0,0,0,0,0
imdb,'The lighting is awful.',0,4,0,0,1,1,0,0,0,0,0,0
amazon,'Really pleased with this product so far.',1,7,1,0,1,1,0,0,0,0,0,0
amazon,'THey are so cool!',1,4,0,0,1,0,0,1,0,0,0,0
imdb,'The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.',1,17,1,0,1,1,0,0,0,1,0,0
amazon,'Piece of trash.',0,3,0,0,1,1,0,0,0,0,0,0
imdb,'An excellent performance from Ms.',1,5,1,0,1,1,0,0,0,0,0,0
amazon,'Protects the phone on all sides.',1,6,0,0,1,1,0,0,0,0,0,0
yelp,'We had fantastic service, and were pleased by the atmosphere.',1,10,1,0,2,1,1,0,0,0,0,0
yelp,'Fantastic food!',1,2,0,0,1,0,0,1,0,0,0,0
imdb,'If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of \"The Way You Look Tonight\"), and an uplifting ending, give this one a try.',1,33,3,0,4,1,3,0,0,0,0,0
yelp,'Awesome service and food.',1,4,1,0,1,1,0,0,0,0,0,0
yelp,'The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.',0,25,0,0,1,1,0,0,0,0,0,0
yelp,'Never again will I be dining at this place!',0,9,0,0,1,0,0,1,0,0,0,0
imdb,'No plot whatsoever!',0,3,0,1,1,0,0,1,0,1,0,0
amazon,'Awsome Device Works Great!!.',1,4,2,0,3,1,0,2,0,0,0,0
yelp,'The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.',0,23,0,0,4,4,0,0,0,0,0,0
yelp,'Very good lunch spot.',1,4,1,0,1,1,0,0,0,0,0,0
imdb,'Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.',0,25,1,2,5,1,4,0,0,0,0,0
amazon,'Good , works fine.',1,4,2,0,2,1,1,0,0,0,0,0
amazon,'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.',0,21,1,0,2,1,1,0,0,0,0,0
imdb,'Definitely worth checking out.',1,4,1,0,1,1,0,0,0,0,0,0
imdb,'The movie seemed a little slow at first.',0,8,0,1,1,1,0,0,0,0,0,0
amazon,'Works well.',1,2,1,0,1,1,0,0,0,0,0,0
imdb,'Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.',1,23,2,0,2,1,1,0,0,0,0,0
yelp,'The scallop dish is quite appalling for value as well.',0,10,0,1,1,1,0,0,0,0,0,0
imdb,'Very disappointed and wondered how it could be in the Oscar shortlist.',0,12,0,1,1,1,0,0,0,0,0,0
yelp,'Gave up trying to eat any of the crust (teeth still sore).',0,12,0,0,1,1,0,0,0,0,0,0
imdb,'This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA\"s finest and thoroughly deserving of its Academy Award.',1,24,5,0,2,1,1,0,0,0,0,0
amazon,'The volume switch rocketed out of the unit to a destination unknown.',0,12,0,0,1,1,0,0,0,0,0,0
amazon,'The tracfonewebsite is user friendly and makes it easy toactivate, etc.',1,11,2,0,2,1,1,0,0,0,0,0
yelp,'The steaks are all well trimmed and also perfectly cooked.',1,10,2,0,1,1,0,0,0,0,0,0
imdb,'Being a 90\"s child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.',1,28,2,0,2,1,1,0,0,0,0,1
imdb,'The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.',0,16,1,2,2,1,1,0,0,0,0,0
yelp,'Seriously killer hot chai latte.',1,5,1,1,1,1,0,0,0,0,0,0
imdb,'The entire audience applauded at the conclusion of the film.',1,10,0,0,1,1,0,0,0,0,0,0
imdb,'I don\"t know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family\"s memories.',1,29,1,0,2,1,1,0,0,0,1,0
imdb,'The plot doesn\"t hang together at all, and the acting is absolutely appalling.',0,13,0,2,2,1,1,0,0,0,0,0
yelp,'Everything was gross.',0,3,0,0,1,1,0,0,0,0,0,0
amazon,'Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.',0,23,0,1,3,1,2,0,0,1,0,0
imdb,'But I recommend waiting for their future efforts, let this one go.',0,12,1,0,2,1,1,0,0,0,0,0
amazon,'Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.',1,26,1,0,3,1,2,0,0,0,0,0
amazon,'I\"ve dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).',1,22,1,0,3,1,1,1,0,0,0,0
amazon,'The phone gets EXTREMELY HOT!',0,5,0,0,1,0,0,1,0,0,0,2
yelp,'This is the place where I first had pho and it was amazing!!',1,13,0,0,2,0,0,2,0,0,0,0
imdb,'Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.',1,12,3,0,1,1,0,0,0,0,0,0
