@relation first_attribute_v6-weka.filters.unsupervised.instance.Resample-S1-Z70.0

@attribute source string
@attribute text string
@attribute positive_words numeric
@attribute negative_words numeric
@attribute negative_adverbs numeric
@attribute punctuation_sum numeric
@attribute punctuation_exclamation numeric
@attribute negation numeric
@attribute class {0,1}

@data
imdb,'Still it\"s quite interesting and entertaining to follow.',2,0,0,1,0,0,1
amazon,'I only used it two days, and it wasn\"t always easy to hear with.',1,0,0,2,0,1,0
yelp,'In fact I\"m going to round up to 4 stars, just because she was so awesome.',1,0,0,2,0,0,1
imdb,'Highly entertaining at all angles.',1,0,0,1,0,0,1
yelp,'Now the pizza itself was good the peanut sauce was very tasty.',2,0,0,1,0,0,1
yelp,'-My order was not correct.',1,0,0,1,0,1,0
yelp,'So absolutley fantastic.',1,0,0,1,0,0,1
amazon,'Overall, I would recommend this phone over the new Walkman.',1,0,0,2,0,0,1
amazon,'It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.',2,0,0,1,0,1,1
yelp,'I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!',0,0,0,2,1,0,0
imdb,'Okay, I like to consider myself a fair critic, so I\"ll give credit where credit\"s due--the creature effects were actually pretty cool.',4,1,0,3,0,0,1
imdb,'The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.',1,3,0,1,0,0,0
imdb,'The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.',1,2,0,1,0,0,1
amazon,'Absolutel junk.',0,1,0,1,0,0,0
imdb,'The lighting is awful.',0,1,0,1,0,0,0
amazon,'Really pleased with this product so far.',1,0,0,1,0,0,1
amazon,'THey are so cool!',1,0,0,1,1,0,1
imdb,'The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.',2,0,0,1,0,2,1
amazon,'Piece of trash.',0,1,0,1,0,0,0
imdb,'An excellent performance from Ms.',1,0,0,1,0,0,1
amazon,'Protects the phone on all sides.',0,0,0,1,0,0,1
yelp,'We had fantastic service, and were pleased by the atmosphere.',2,0,0,2,0,0,1
yelp,'Fantastic food!',1,0,0,1,1,0,1
imdb,'If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of \"The Way You Look Tonight\"), and an uplifting ending, give this one a try.',3,0,0,4,0,0,1
yelp,'Awesome service and food.',1,0,0,1,0,0,1
yelp,'The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.',0,0,0,1,0,0,0
yelp,'Never again will I be dining at this place!',0,0,0,1,1,1,0
imdb,'No plot whatsoever!',0,1,0,1,1,1,0
amazon,'Awsome Device Works Great!!.',3,0,0,3,2,0,1
yelp,'The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.',0,1,0,4,0,0,0
yelp,'Very good lunch spot.',1,0,0,1,0,0,1
imdb,'Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.',1,2,0,5,0,0,0
amazon,'Good , works fine.',3,1,0,2,0,0,1
amazon,'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.',1,0,0,2,0,0,0
imdb,'Definitely worth checking out.',1,0,0,1,0,0,1
imdb,'The movie seemed a little slow at first.',0,1,1,1,0,0,0
amazon,'Works well.',2,0,0,1,0,0,1
imdb,'Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.',2,1,0,2,0,0,1
yelp,'The scallop dish is quite appalling for value as well.',1,1,0,1,0,0,0
imdb,'Very disappointed and wondered how it could be in the Oscar shortlist.',0,1,0,1,0,0,0
yelp,'Gave up trying to eat any of the crust (teeth still sore).',0,0,0,1,0,0,0
imdb,'This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA\"s finest and thoroughly deserving of its Academy Award.',6,0,0,2,0,0,1
amazon,'The volume switch rocketed out of the unit to a destination unknown.',0,1,0,1,0,0,0
amazon,'The tracfonewebsite is user friendly and makes it easy toactivate, etc.',2,0,0,2,0,0,1
yelp,'The steaks are all well trimmed and also perfectly cooked.',2,0,0,1,0,0,1
imdb,'Being a 90\"s child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.',2,0,0,2,0,0,1
imdb,'The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.',1,2,0,2,0,0,0
yelp,'Seriously killer hot chai latte.',1,1,0,1,0,0,1
imdb,'The entire audience applauded at the conclusion of the film.',0,0,0,1,0,0,1
