@relation first_attribute_v6-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement-V

@attribute source string
@attribute text string
@attribute positive_words numeric
@attribute negative_words numeric
@attribute negative_adverbs numeric
@attribute punctuation_sum numeric
@attribute punctuation_exclamation numeric
@attribute negation numeric
@attribute class {0,1}

@data
yelp,'Wow... Loved this place.',2,0,0,4,0,0,1
imdb,'Excellently produced by one of Sci-fi\"s best producers Scot Vandiver !',2,1,0,1,1,0,1
imdb,'Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.',2,3,0,2,0,0,1
amazon,'Big Disappointment with calendar sync.',0,1,0,1,0,0,0
yelp,'The selection on the menu was great and so were the prices.',1,0,0,1,0,0,1
amazon,'good item, low price.',1,0,0,2,0,0,1
yelp,'Honeslty it didn\"t taste THAT fresh.)',0,0,0,1,0,1,0
yelp,'The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.',2,0,0,1,0,0,0
yelp,'The fries were great too.',1,0,0,1,0,0,1
imdb,'And if that isn\"t enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.',1,1,0,1,0,1,0
yelp,'Service was very prompt.',1,0,0,1,0,0,1
imdb,'And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn\"t understand where he is, what he is doing and why.',2,1,0,4,0,1,1
amazon,'nice leather.',1,0,0,1,0,0,1
yelp,'I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!',0,0,0,6,1,0,1
imdb,'The flat reenactments don\"t hold your attention because they are emotionally adrift and stagy.',0,0,0,1,0,1,0
imdb,'Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!',1,1,0,3,1,0,0
yelp,'Highly recommended.',1,0,0,1,0,0,1
yelp,'Waitress was a little slow in service.',0,1,1,1,0,0,0
amazon,'This is a simple little phone to use, but the breakage is unacceptible.',0,0,1,2,0,0,0
yelp,'did not like at all.',1,0,0,1,0,1,0
yelp,'The Burrittos Blah!',0,1,0,1,1,0,0
amazon,'I found the product to be easy to set up and use.',1,0,0,1,0,0,1
amazon,'Great charger.',1,0,0,1,0,0,1
imdb,'The incredible soundtrack truly captures the essence of the film.',1,0,0,1,0,0,1
yelp,'So they performed.',0,0,0,1,0,0,1
imdb,'Hayao Miyazaki\"s latest and eighth film for Studio Ghibili, \"Gake No Ue No Ponyo\" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.',3,0,0,2,0,2,1
imdb,'And those baby owls were adorable.',1,0,0,1,0,0,1
imdb,'Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.',0,1,0,1,0,0,0
yelp,'The place was fairly clean but the food simply wasn\"t worth it.',3,0,0,1,0,1,0
amazon,'Doesn\"t hold charge.',0,0,0,1,0,1,0
imdb,'This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet\"s bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.',2,6,0,8,0,0,1
amazon,'Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.',1,1,0,3,0,1,0
yelp,'I found this place by accident and I could not be happier.',1,0,0,1,0,1,1
amazon,'Battery has no life.',0,0,0,1,0,1,0
yelp,'Overall, I like this place a lot.',1,0,0,2,0,0,1
yelp,'The only redeeming quality of the restaurant was that it was very inexpensive.',2,0,0,1,0,0,1
imdb,'I am a fan of his ... This movie sucked really bad.',0,3,0,4,0,0,0
imdb,'The only thing really worth watching was the scenery and the house, because it is beautiful.',2,0,0,2,0,0,1
yelp,'My first visit to Hiro was a delight!',1,0,0,1,1,0,1
imdb,'That was nice.',1,0,0,1,0,0,1
amazon,'The headset fulfills my requirements so I am happy with my purchase.',1,0,0,1,0,0,1
amazon,'Sprint - terrible customer service.',0,1,0,1,0,0,0
yelp,'Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn\"t want to eat it for fear of getting sick.',1,3,0,1,0,1,0
