@relation first_attribute_v4-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V

@attribute source string
@attribute text string
@attribute positive_words numeric
@attribute negative_words numeric
@attribute negative_adverbs numeric
@attribute punctuation_sum numeric
@attribute punctuation_exclamation numeric
@attribute negation numeric
@attribute class {0,1}

@data
imdb,Horrible!,0,0,0,1,1,0,0
imdb,'THERE IS NO PLOT OR STORYLINE!!',0,1,0,2,2,1,0
yelp,'Now I am getting angry and I want my damn pho.',0,2,0,1,0,0,0
imdb,'The acting was decidely wooden, though no worse than a period Universal B movie.',0,1,0,2,0,1,0
yelp,'The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.',1,0,0,1,0,0,0
yelp,'Would not go back.',0,0,0,1,0,1,0
yelp,'The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.',0,0,0,1,0,1,0
yelp,'I was disgusted because I was pretty sure that was human hair.',1,1,0,1,0,0,0
yelp,'I was shocked because no signs indicate cash only.',0,1,0,1,0,1,0
imdb,'And it was boring.',0,0,0,1,0,0,0
yelp,'This place is not worth your time, let alone Vegas.',1,0,0,2,0,1,0
imdb,'Also the story and acting were weak.',0,0,0,1,0,0,0
imdb,'Otherwise, don\"t even waste your time on this.',0,1,0,2,0,1,0
yelp,'- They never brought a salad we asked for.',0,0,0,1,0,1,0
yelp,'Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.',1,1,0,2,0,0,0
yelp,'The worst was the salmon sashimi.',0,1,0,1,0,0,0
yelp,'This was like the final blow!',1,0,0,1,1,0,0
imdb,'It was a good thing that the tickets only cost five dollars because I would be mad if I\"d have paid $7.50 to see this crap.',1,1,0,2,0,0,0
imdb,'A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.',2,6,0,2,0,0,0
yelp,'Service sucks.',0,0,0,1,0,0,0
imdb,'I can\"t see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.',1,1,0,1,0,1,0
yelp,'Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn\"t want to eat it for fear of getting sick.',1,2,0,1,0,1,0
yelp,'Frozen pucks of disgust, with some of the worst people behind the register.',0,2,0,2,0,0,0
yelp,'It\"s too bad the food is so damn generic.',0,2,0,1,0,0,0
yelp,'They have horrible attitudes towards customers, and talk down to each one when customers don\"t enjoy their food.',1,1,0,2,0,1,0
yelp,'The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.',0,2,0,1,0,0,0
yelp,'Not much seafood and like 5 strings of pasta at the bottom.',1,0,0,1,0,1,0
imdb,'But what really made it unwatchable was the direction.',0,1,0,1,0,0,0
yelp,'At least think to refill my water before I struggle to wave you over for 10 minutes.',0,1,0,1,0,0,0
yelp,'We got the food and apparently they have never heard of salt and the batter on the fish was chewy.',0,0,0,1,0,1,0
yelp,'The service was meh.',0,0,0,1,0,0,0
yelp,'It took over 30 min to get their milkshake, which was nothing more than chocolate milk.',0,0,0,2,0,1,0
imdb,'This convention never worked well in the past, and certainly doesn\"t work here.',3,0,0,2,0,2,0
yelp,'The scallop dish is quite appalling for value as well.',0,1,0,1,0,0,0
yelp,'2 times - Very Bad Customer Service !',0,1,0,1,1,0,0
yelp,'There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.',1,2,0,1,0,0,0
imdb,'If this premise sound stupid, that\"s because it is.',0,0,0,2,0,0,0
yelp,'walked in and the place smelled like an old grease trap and only 2 others there eating.',1,2,0,1,0,0,0
yelp,'The turkey and roast beef were bland.',0,0,0,1,0,0,0
imdb,'But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as \"pretentious crap\".',2,2,0,7,0,0,0
imdb,'Filmiing was less expansive.',0,0,0,1,0,0,0
yelp,'In summary, this was a largely disappointing dining experience.',0,1,0,2,0,0,0
yelp,'Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!',0,1,0,2,1,2,0
yelp,'say bye bye to your tip lady!',0,0,0,1,1,0,0
imdb,'Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.',0,2,0,1,0,0,0
imdb,'If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.',0,0,0,2,0,0,0
yelp,'REAL sushi lovers, let\"s be honest - Yama is not that good.',1,0,0,2,0,1,0
yelp,'At least 40min passed in between us ordering and the food arriving, and it wasn\"t that busy.',0,0,0,2,0,1,0
yelp,'It was pretty gross!',1,0,0,1,1,0,0
yelp,'I\"ve had better atmosphere.',1,0,0,1,0,0,0
imdb,'In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.',0,1,0,2,0,2,0
yelp,'Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.',1,0,0,2,0,0,0
imdb,'A Lassie movie which should have been \"put to sleep\".... FOREVER.',0,0,0,5,0,0,0
imdb,'Regrettably, the film fails.',0,0,0,2,0,0,0
yelp,'Host staff were, for lack of a better word, BITCHES!',1,1,0,3,1,0,0
imdb,'The new characters weren\"t all that memorable, and I found myself forgetting who was who.',0,0,0,2,0,1,0
yelp,'I wouldn\"t return.',0,0,0,1,0,0,0
yelp,'This place is way too overpriced for mediocre food.',0,2,0,1,0,0,0
yelp,'The management is rude.',0,0,0,1,0,0,0
yelp,'He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.',1,1,0,2,0,0,0
yelp,'Don\"t do it!!!!',0,0,0,4,4,1,0
imdb,'One of the most boring,pointless movies I have ever seen.',0,0,0,2,0,0,0
yelp,'My husband and I ate lunch here and were very disappointed with the food and service.',0,1,0,1,0,0,0
yelp,'And the red curry had so much bamboo shoots and wasn\"t very tasty to me.',0,0,0,1,0,1,0
imdb,'This is definitely one of the bad ones.',0,1,0,1,0,0,0
yelp,'The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.',0,2,1,2,0,0,0
yelp,'I give it 2 thumbs down',0,0,0,0,0,0,0
yelp,'We watched our waiter pay a lot more attention to other tables and ignore us.',0,1,0,1,0,0,0
yelp,'We waited for forty five minutes in vain.',0,0,0,1,0,0,0
yelp,'Crostini that came with the salad was stale.',0,0,0,1,0,0,0
yelp,'Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.',0,0,0,2,0,0,0
imdb,'The acting is like watching wooden puppets moving around and reading from a book, that\"s how bad it is.',1,2,0,2,0,0,0
imdb,'Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!',1,1,0,3,1,0,0
yelp,'So don\"t go there if you are looking for good food...',1,0,0,3,0,1,0
imdb,'Generally; it just lacked imagination.',0,1,0,1,0,0,0
yelp,'We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.',0,1,0,1,0,0,0
imdb,'The results, well, are a shame.',0,0,0,3,0,0,0
imdb,'Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.',0,1,0,2,0,0,0
yelp,'We literally sat there for 20 minutes with no one asking to take our order.',0,0,0,1,0,1,0
imdb,'Ironically I mostly find his films a total waste of time to watch.',0,2,0,1,0,0,0
yelp,'I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.',1,0,0,1,0,1,0
yelp,'I dressed up to be treated so rudely!',0,0,0,1,1,0,0
imdb,'This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.',1,1,0,1,0,0,0
yelp,'The food sucked, which we expected but it sucked more than we could have imagined.',0,1,0,2,0,0,0
yelp,'When my order arrived, one of the gyros was missing.',0,0,0,2,0,0,0
yelp,'I\"m not really sure how Joey\"s was voted best hot dog in the Valley by readers of Phoenix Magazine.',2,0,0,1,0,1,0
yelp,'The live music on Fridays totally blows.',0,0,0,1,0,0,0
imdb,'Not recommended.',0,0,0,1,0,1,0
yelp,'The warm beer didn\"t help.',1,0,0,1,0,1,0
