,source,text,positive_words,negative_words,negative_adverbs,punctuation_sum,punctuation_exclamation,negation,positive_rating,class

0,yelp,Wow... Loved this place.,2,0,0,4,0,0,0,1

1,yelp,Crust is not good.,1,0,0,1,0,1,0,0

2,yelp,Not tasty and the texture was just nasty.,1,1,0,1,0,1,0,0

3,yelp,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,2,0,0,1,0,0,0,1

4,yelp,The selection on the menu was great and so were the prices.,1,0,0,1,0,0,0,1

5,yelp,Now I am getting angry and I want my damn pho.,0,2,0,1,0,0,0,0

6,yelp,Honeslty it didn"t taste THAT fresh.),0,0,0,1,0,1,0,0

7,yelp,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,2,0,0,1,0,0,0,0

8,yelp,The fries were great too.,1,0,0,1,0,0,0,1

9,yelp,A great touch.,1,0,0,1,0,0,0,1

10,yelp,Service was very prompt.,1,0,0,1,0,0,0,1

11,yelp,Would not go back.,0,0,0,1,0,1,0,0

12,yelp,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,1,0,1,0,1,0,0

13,yelp,'I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!',0,0,0,6,1,0,0,1

14,yelp,I was disgusted because I was pretty sure that was human hair.,1,1,0,1,0,0,0,0

15,yelp,I was shocked because no signs indicate cash only.,0,1,0,1,0,1,0,0

16,yelp,Highly recommended.,1,0,0,1,0,0,0,1

17,yelp,Waitress was a little slow in service.,0,1,1,1,0,0,0,0

18,yelp,'This place is not worth your time, let alone Vegas.',1,0,0,2,0,1,0,0

19,yelp,did not like at all.,1,0,0,1,0,1,0,0

20,yelp,The Burrittos Blah!,0,1,0,1,1,0,0,0

21,yelp,'The food, amazing.',1,0,0,2,0,0,0,1

22,yelp,Service is also cute.,1,0,0,1,0,0,0,1

23,yelp,I could care less... The interior is just beautiful.,1,0,0,4,0,0,0,1

24,yelp,So they performed.,0,0,0,1,0,0,0,1

25,yelp,That"s right....the red velvet cake.....ohhh this stuff is so good.,1,0,0,10,0,0,0,1

26,yelp,- They never brought a salad we asked for.,0,0,0,1,0,1,0,0

27,yelp,'This hole in the wall has great Mexican street tacos, and friendly staff.',2,0,0,2,0,0,0,1

28,yelp,'Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.',2,2,0,2,0,0,0,0

29,yelp,The worst was the salmon sashimi.,0,1,0,1,0,0,0,0

30,yelp,'Also there are combos like a burger, fries, and beer for 23 which is a decent deal.',2,0,0,3,0,0,0,1

31,yelp,This was like the final blow!,1,1,0,1,1,0,0,0

32,yelp,I found this place by accident and I could not be happier.,1,0,0,1,0,1,0,1

33,yelp,'seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.',3,0,0,2,0,0,0,0

34,yelp,'Overall, I like this place a lot.',1,0,0,2,0,0,0,1

35,yelp,The only redeeming quality of the restaurant was that it was very inexpensive.,2,0,0,1,0,0,0,1

36,yelp,Ample portions and good prices.,2,0,0,1,0,0,0,1

37,yelp,'Poor service, the waiter made me feel like I was stupid every time he came to the table.',1,2,0,2,0,0,0,0

38,yelp,My first visit to Hiro was a delight!,1,0,0,1,1,0,0,1

39,yelp,Service sucks.,0,1,0,1,0,0,0,0

40,yelp,The shrimp tender and moist.,1,0,0,1,0,0,0,1

41,yelp,There is not a deal good enough that would drag me into that establishment again.,2,1,0,1,0,1,0,0

42,yelp,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn"t want to eat it for fear of getting sick.,1,3,0,1,0,1,0,0

43,yelp,'On a positive note, our server was very attentive and provided great service.',3,0,0,2,0,0,0,1

44,yelp,'Frozen pucks of disgust, with some of the worst people behind the register.',0,3,0,2,0,0,0,0

45,yelp,The only thing I did like was the prime rib and dessert section.,1,0,0,1,0,0,0,1

46,yelp,It"s too bad the food is so damn generic.,0,2,0,1,0,0,0,0

47,yelp,'The burger is good beef, cooked just right.',2,0,0,2,0,0,0,1

48,yelp,If you want a sandwich just go to any Firehouse!!!!!,0,0,0,5,5,0,0,1

49,yelp,'My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.',2,0,0,2,0,0,0,1

50,yelp,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,2,0,0,1,0,0,0,1

51,yelp,He came running after us when he realized my husband had left his sunglasses on the table.,0,0,0,1,0,0,0,1

52,yelp,Their chow mein is so good!,1,0,0,1,1,0,0,1

53,yelp,'They have horrible attitudes towards customers, and talk down to each one when customers don"t enjoy their food.',1,1,0,2,0,1,0,0

54,yelp,The portion was huge!,0,0,0,1,1,0,0,1

55,yelp,'Loved it...friendly servers, great food, wonderful and imaginative menu.',4,0,0,6,0,0,0,1

56,yelp,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,2,0,1,0,0,0,0

57,yelp,Not much seafood and like 5 strings of pasta at the bottom.,1,0,0,1,0,1,0,0

58,yelp,'The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.',2,0,0,2,0,1,0,1

59,yelp,'The ripped banana was not only ripped, but petrified and tasteless.',0,3,0,2,0,1,0,0

60,yelp,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,1,0,1,0,0,0,0

61,yelp,This place receives stars for their APPETIZERS!!!,0,0,0,3,3,0,0,1

62,yelp,The cocktails are all handmade and delicious.,1,0,0,1,0,0,0,1

63,yelp,We"d definitely go back here again.,0,0,0,1,0,0,0,1

64,yelp,We are so glad we found this place.,1,0,0,1,0,0,0,1

65,yelp,'Great food and service, huge portions and they give a military discount.',1,0,0,2,0,0,0,1

66,yelp,Always a great time at Dos Gringos!,1,0,0,1,1,0,0,1

